file,machine,np_requested,np_effective,loop,ffi,status,real_seconds,elapsed_max,family_sum,log
d2.plcr,macstudio,32,32,1,0,OK,1.99,0,6,/Users/marco/marco.live/PROGRAMS/ALL-PELCR/PELCR-anthropic/PELCR/LOGS/timeout-recheck-20260624/d2-np32-loop1.out
k2i.plcr,macstudio,32,32,1,0,OK,2.04,0,4,/Users/marco/marco.live/PROGRAMS/ALL-PELCR/PELCR-anthropic/PELCR/LOGS/timeout-recheck-20260624/k2i-np32-loop1.out
2I.plcr,macstudio,32,32,1,0,OK,2.05,0,3,/Users/marco/marco.live/PROGRAMS/ALL-PELCR/PELCR-anthropic/PELCR/LOGS/timeout-recheck-20260624/2I-np32-loop1.out
d4.plcr,macstudio,32,32,1,0,OK,2.07,0,18,/Users/marco/marco.live/PROGRAMS/ALL-PELCR/PELCR-anthropic/PELCR/LOGS/timeout-recheck-20260624/d4-np32-loop1.out
dd2.plcr,macstudio,32,32,1,0,OK,2.07,0,14,/Users/marco/marco.live/PROGRAMS/ALL-PELCR/PELCR-anthropic/PELCR/LOGS/timeout-recheck-20260624/dd2-np32-loop1.out
dd3.plcr,macstudio,32,32,1,0,OK,2.3,0,34,/Users/marco/marco.live/PROGRAMS/ALL-PELCR/PELCR-anthropic/PELCR/LOGS/full-battery-20260621/dd3-np32-loop1.out
fibonacci.plcr,macstudio,32,32,1,0,OK,2.84,0,0,/Users/marco/marco.live/PROGRAMS/ALL-PELCR/PELCR-anthropic/PELCR/LOGS/timeout-recheck-20260624/fibonacci-np32-loop1.out
dd5.plcr,macstudio,32,32,1,0,INTERRUPTED,5.3,0,0,/Users/marco/marco.live/PROGRAMS/ALL-PELCR/PELCR-anthropic/PELCR/LOGS/timeout-recheck-20260624/dd5-np32-loop1.out
BruteTest.plcr,macstudio,32,1,1,1,FAIL:1,20.55,0,0,/Users/marco/marco.live/PROGRAMS/ALL-PELCR/PELCR-anthropic/PELCR/LOGS/full-battery-20260621/BruteTest-np1-ffi-loop1.out
dcm2005.plcr,macstudio,32,1,1,1,FAIL:1,29.39,0,0,/Users/marco/marco.live/PROGRAMS/ALL-PELCR/PELCR-anthropic/PELCR/LOGS/full-battery-20260621/dcm2005-np1-ffi-loop1.out
d4triple_f.plcr,macstudio,32,1,1,1,INTERRUPTED,103.9,0,0,/Users/marco/marco.live/PROGRAMS/ALL-PELCR/PELCR-anthropic/PELCR/LOGS/timeout-recheck-20260624/d4triple_f-np1-ffi-loop1.out
difficult.plcr,macstudio,32,32,1,0,TIMEOUT,120.54,0,0,/Users/marco/marco.live/PROGRAMS/ALL-PELCR/PELCR-anthropic/PELCR/LOGS/timeout-recheck-20260624/difficult-np32-loop1.out
d4double_f.plcr,macstudio,32,1,1,1,TIMEOUT,120.55,0,0,/Users/marco/marco.live/PROGRAMS/ALL-PELCR/PELCR-anthropic/PELCR/LOGS/timeout-recheck-20260624/d4double_f-np1-ffi-loop1.out
2dd3.plcr,macstudio,32,32,1,0,TIMEOUT,120.56,0,0,/Users/marco/marco.live/PROGRAMS/ALL-PELCR/PELCR-anthropic/PELCR/LOGS/timeout-recheck-20260624/2dd3-np32-loop1.out
2dd4.plcr,macstudio,32,32,1,0,TIMEOUT,120.56,0,0,/Users/marco/marco.live/PROGRAMS/ALL-PELCR/PELCR-anthropic/PELCR/LOGS/timeout-recheck-20260624/2dd4-np32-loop1.out
kdd.plcr,macstudio,32,32,1,0,TIMEOUT,120.56,0,0,/Users/marco/marco.live/PROGRAMS/ALL-PELCR/PELCR-anthropic/PELCR/LOGS/full-battery-20260621/kdd-np32-loop1.out
ki.plcr,macstudio,32,32,1,0,TIMEOUT,120.56,0,0,/Users/marco/marco.live/PROGRAMS/ALL-PELCR/PELCR-anthropic/PELCR/LOGS/full-battery-20260621/ki-np32-loop1.out
scan.plcr,macstudio,32,32,1,0,TIMEOUT,120.56,0,0,/Users/marco/marco.live/PROGRAMS/ALL-PELCR/PELCR-anthropic/PELCR/LOGS/full-battery-20260621/scan-np32-loop1.out
fact.plcr,macstudio,32,32,1,0,TIMEOUT_KILLED:1,130.01,0,0,/Users/marco/marco.live/PROGRAMS/ALL-PELCR/PELCR-anthropic/PELCR/LOGS/full-battery-20260621/fact-np32-loop1.out
matrixnew.plcr,macstudio,32,1,1,1,TIMEOUT_KILLED:1,130.02,0,0,/Users/marco/marco.live/PROGRAMS/ALL-PELCR/PELCR-anthropic/PELCR/LOGS/full-battery-20260621/matrixnew-np1-ffi-loop1.out
extsucc.plcr,macstudio,32,1,1,1,OK,1.94,1,47,/Users/marco/marco.live/PROGRAMS/ALL-PELCR/PELCR-anthropic/PELCR/LOGS/full-battery-20260621/extsucc-np1-ffi-loop1.out
pure.plcr,macstudio,32,1,1,1,OK,1.93,2,47,/Users/marco/marco.live/PROGRAMS/ALL-PELCR/PELCR-anthropic/PELCR/LOGS/full-battery-20260621/pure-np1-ffi-loop1.out
d3triple_f.plcr,macstudio,32,1,1,1,OK,1.97,2,109,/Users/marco/marco.live/PROGRAMS/ALL-PELCR/PELCR-anthropic/PELCR/LOGS/full-battery-20260621/d3triple_f-np1-ffi-loop1.out
dd4.plcr,macstudio,32,32,1,0,OK,4.09,2,72,/Users/marco/marco.live/PROGRAMS/ALL-PELCR/PELCR-anthropic/PELCR/LOGS/full-battery-20260621/dd4-np32-loop1.out
d4checksum.plcr,macstudio,32,1,1,1,OK,23.7,23,24,/Users/marco/marco.live/PROGRAMS/ALL-PELCR/PELCR-anthropic/PELCR/LOGS/full-battery-20260621/d4checksum-np1-ffi-loop1.out
d4addone.plcr,macstudio,32,1,1,1,OK,23.78,23,24,/Users/marco/marco.live/PROGRAMS/ALL-PELCR/PELCR-anthropic/PELCR/LOGS/full-battery-20260621/d4addone-np1-ffi-loop1.out
121triple_f.plcr,macstudio,32,1,1,1,OK,114.11,113,288,/Users/marco/marco.live/PROGRAMS/ALL-PELCR/PELCR-anthropic/PELCR/LOGS/full-battery-20260621/121triple_f-np1-ffi-loop1.out
